,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date,enter,exit,enter_exit
582708,1118255,Family Dollar Store 10514,Combination Grocery/Other,412,Chenango St, ,Binghamton,NY,13901,2236,BROOME,42.11089,-75.90285,2013-09-12,,0,0,0
582710,884238,Fastrac EG LLC 280,Convenience Store,17,Canal St, ,Port Crane,NY,13833,1510,BROOME,42.16486,-75.83485,2009-03-02,,0,0,0
582714,1264601,Filli Stop Inc  ,Convenience Store,2618,State Highway 12, ,Chenango Forks,NY,13746, ,BROOME,42.23952,-75.84479,2016-12-07,2020-06-21,0,1,0
582715,1105095,Five Star Deli & Convenience Store  ,Convenience Store,60,Oak St, ,Binghamton,NY,13905,4625,BROOME,42.0956,-75.921,2013-09-10,2018-03-16,0,1,0
582716,1105095,Five Star Deli & Convenience Store  ,Convenience Store,60,Oak St, ,Binghamton,NY,13905,4625,BROOME,42.0956,-75.921,2018-05-22,2020-12-01,1,1,1
582717,1180249,Five Star Five Deli  ,Convenience Store,900,Broad St, ,Endicott,NY,13760,5104,BROOME,42.10045,-76.05259,2015-01-15,2018-06-19,0,1,0
582725,562970,FRIEND'S GROCERIES  ,Convenience Store,46,Court St, ,Binghamton,NY,13901,3106,BROOME,42.09869,-75.91373,2004-03-22,2019-02-25,0,1,0
582726,562970,FRIEND'S GROCERIES  ,Convenience Store,46,Court St, ,Binghamton,NY,13901,3106,BROOME,42.09869,-75.91373,2019-04-01,,1,0,0
582728,1285596,G & S Grocery Inc - Best Indian Grocery  ,Small Grocery Store,188,Main St, ,Binghamton,NY,13905,2651,BROOME,42.10419,-75.93186,2017-06-08,2020-01-29,1,1,1
582732,1045164,Gerry Tull's Store  ,Convenience Store,18,NY Route 38B,North Side Of Rt 38B,Endicott,NY,13760, ,BROOME,42.15547,-76.07117,2012-11-15,,0,0,0
582733,1443147,Go Natural Deli Inc  ,Convenience Store,296,Main Street, ,Johnson City,NY,13790, ,BROOME,42.11572,-75.95732,2021-04-23,,1,0,0
582751,1456419,Greater Good Grocery  ,Small Grocery Store,435,State St,,Binghamton,NY,13901,1982,BROOME,42.10765,-75.90617,2021-07-06,,0,0,0
582753,588995,GREGGS MARKET PLACE  ,Supermarket,2956,ROUTE 11, ,WHITNEY POINT,NY,13862, ,BROOME,42.33655,-75.97459,1970-09-23,,0,0,0
582760,691871,HANG PHAT MARKET  ,Medium Grocery Store,278,Main St, ,Binghamton,NY,13905,2518,BROOME,42.10833,-75.93938,2000-09-21,,0,0,0
582761,1075214,Harash Stop & Shop  ,Convenience Store,14,Main St, ,Johnson City,NY,13790,2408,BROOME,42.11153,-75.94588,2012-10-29,2018-04-01,0,1,0
582762,1352727,Harash Stop And Shop  ,Convenience Store,14,Main St, ,Johnson City,NY,13790,2408,BROOME,42.11153,-75.94588,2019-03-06,,1,0,0
582766,1407479,Harry's Expressway  ,Convenience Store,1423,Ny-96, ,Owego,NY,13850, ,BROOME,42.12277,-76.27094,2020-07-08,,1,0,0
